name,mass (g),GeoLocation
Aachen,21,"(50.775000, 6.083330)"
Aarhus,720,"(56.183330, 10.233330)"
Abee,107000,"(54.216670, -113.000000)"
Acapulco,1914,"(16.883330, -99.900000)"
Achiras,780,"(-33.166670, -64.950000)"
Adhi Kot,4239,"(32.100000, 71.800000)"
Adzhi-Bogdo (stone),910,"(44.833330, 95.166670)"
Agen,30000,"(44.216670, 0.616670)"
Aguada,1620,"(-31.600000, -65.233330)"
Aguila Blanca,1440,"(-30.866670, -64.550000)"
Aioun el Atrouss,1000,"(16.398060, -9.570280)"
Aïr,24000,"(19.083330, 8.383330)"
Aire-sur-la-Lys,,"(50.666670, 2.333330)"
Akaba,779,"(29.516670, 35.050000)"
Akbarpur,1800,"(29.716670, 77.950000)"
Akwanga,3000,"(8.916670, 8.433330)"
Akyumak,50000,"(39.916670, 42.816670)"
Al Rais,160,"(24.416670, 39.516670)"
Al Zarnkh,700,"(13.660330, 28.960000)"
Alais,6000,"(44.116670, 4.083330)"
Albareto,2000,"(44.650000, 11.016670)"
Alberta,625,"(2.000000, 22.666670)"
Alby sur Chéran,252,"(45.821330, 6.015330)"
Aldsworth,700,"(51.783330, -1.783330)"
Aleppo,3200,"(36.233330, 37.133330)"
Alessandria,908,"(44.883330, 8.750000)"
Alexandrovsky,9251,"(50.950000, 31.816670)"
Alfianello,228000,"(45.266670, 10.150000)"
Allegan,32000,"(42.533330, -85.883330)"
Allende,2000000,"(26.966670, -105.316670)"
Almahata Sitta,3950,"(20.745750, 32.412750)"
Alta'ameem,6000,"(35.273330, 44.215560)"
Ambapur Nagla,6400,"(27.666670, 78.250000)"
Andhara,2700,"(26.583330, 85.566670)"
Andover,3200,"(44.616670, -70.750000)"
Andreevka,600,"(48.700000, 37.500000)"
Andura,17900,"(20.883330, 76.866670)"
Northwest Africa 5815,257,"(0.000000, 0.000000)"
Angers,,"(47.466670, -0.550000)"
Angra dos Reis (stone),1500,"(-22.966670, -44.316670)"
Ankober,6500,"(9.533330, 39.716670)"
Anlong,2500,"(25.150000, 105.183330)"
Aomori,320,"(40.810560, 140.785560)"
Appley Bridge,15000,"(53.583330, -2.716670)"
Apt,3200,"(43.866670, 5.383330)"
Arbol Solo,810,"(-33.000000, -66.000000)"
Archie,5070,"(38.500000, -94.300000)"
Arroyo Aguiar,7450,"(-31.416670, -60.666670)"
Asco,41,"(42.450000, 9.033330)"
Ash Creek,9500,"(31.805000, -97.010000)"
Ashdon,1300,"(52.050000, 0.300000)"
Assisi,2000,"(43.033330, 12.550000)"
Atarra,1280,"(25.254170, 80.625000)"
Atemajac,94,"(20.066670, -103.666670)"
Athens,265,"(34.750000, -87.000000)"
Atoka,1384,"(34.316670, -96.150000)"
Aubres,800,"(44.383330, 5.166670)"
Aumale,50000,"(36.166670, 3.666670)"
Aumieres,2000,"(44.333330, 3.233330)"
Ausson,50000,"(43.083330, 0.583330)"
Avanhandava,9330,"(-21.460280, -49.950830)"
Avce,1230,"(46.000000, 13.500000)"
Avilez,146,"(25.000000, -103.500000)"
Awere,134,"(2.716670, 32.833330)"
Aztec,2830,"(36.800000, -108.000000)"
Bachmut,18000,"(48.600000, 38.000000)"
Bahjoi,10322,"(28.483330, 78.500000)"
